English ,Dutch
alarm,alarm
arm,arm
arrest,arresteren
arrest,arresteren
arrest,arresteren
arrest,arresteren
arson,brandstichting
assassinate,vermoorden
assassination,moord
assault,aanval
assault,aanval
assault,aanval
assault,aanval
attack,aanval
attack,aanval
attack,aanval
attack,aanval
autopsy,lijkschouwing
batter,beslag
battle,strijd
battle,strijd
battle,strijd
beat,overtreffen
beaten,geslagen
beating,pak slaag
betrayed,verraden
betraying,verraden
bloodshed,bloedvergieten
bombardment,bombardement
bombardment,bombardement
bombed,gebombardeerd
bombing,bombardement
bombing,bombardement
bomb,bom
burglary,inbraak
burn,brandwond
burning,brandend
burn,brandwond
Burns Down,Plat branden
burnt,verbrand
capture,gevangen nemen
capture,gevangen nemen
capture,gevangen nemen
capture,gevangen nemen
carjacking,carjacking
carnage,bloedbad
casualty,ongeval
catch,vangst
catch,vangst
caught,gevangen
caught fire,vloog in brand
choke,stikken
choked,verslikte
clashed,botsten
clash,botsen
condemnation,veroordeling
condemn,veroordelen
conflict,conflict
crime,misdrijf
crime,misdrijf
crossfire,kruisvuur
cuffed,geboeid
custody,hechtenis
cut,besnoeiing
cut into piece boy,snijd in stuk jongen
cut,besnoeiing
cut,besnoeiing
damage,schade
Damaged,beschadigd
damage,schade
damage,schade
damage,schade
dead,dood
deadlocked,impasse
death,dood
death,dood
death,dood
deport,deporteren
destroy,vernietigen
destroyed,vernietigd
destroy,vernietigen
Destroys,vernietigt
destroys,vernietigt
destruction,verwoesting
die,dood gaan
die,dood gaan
dy,dy
die,dood gaan
execute,uitvoeren
execute,uitvoeren
execution,uitvoering
execution,uitvoering
explode,ontploffen
explode,ontploffen
explosion,explosie
explosion,explosie
fatally shoot,dodelijk schieten
fight,strijd
fight,strijd
fight,strijd
fire,brand
firebombed,firebombed
fire,brand
fire on,vuur op
fire,brand
fire,brand
firing at,schieten op
flame,vlam
flame,vlam
flee,vluchten
flee,vluchten
flee,vluchten
flew,vlogen
gunfire,geschutvuur
gun,geweer
gun down,pistool naar beneden
gun down,pistool naar beneden
gunpoint,gunpoint
gunshot,geweerschot
handcuffed,handboeien
handcuff,handboei
hang,hangen
Hanging,opknoping
harass,kwellen
harm,kwaad
harm,kwaad
hold hostage,gegijzeld houden
hijack,hijack
hijack,hijack
hijack,hijack
hijacking,kaping
hit,raken
hit and run,slaan en rennen
hit-and-run,hit-and-run
hit,raken
hit,raken
homicide,moordenaar
homicide,moordenaar
ignite,ontbranden
ignite,ontbranden
incarcerate,opsluiten
incarceration,opsluiting
inferno,hel
injure,verwonden
injured,gewond
injury,letsel
injure,verwonden
injury,letsel
intoxicate,bedwelmen
investigate,onderzoeken
investigate,onderzoeken
investigate,onderzoeken
investigation,onderzoek
investigation,onderzoek
jail,gevangenis
jail,gevangenis
kidnapping,ontvoering
kill,doden
kill,doden
killer,moordenaar
kill,doden
killing,doden
knock down,omver gooien
knock out,knock out
manhunt,mensenjacht
Manslaughter,Doodslag
manslaughter,doodslag
militant activity,militante activiteit
mishandle,slecht behandelen
miss,missen
miss people ),mensen missen)
molester,molester
mortar attack,mortieraanval
murder,moord
murder,moord
murder,moord
murder,moord
occupation,bezetting
occupy,bezetten
occupy,bezetten
offense,overtreding
offensive,aanvallend
open fire,haardvuur
pain,pijn
pass,voorbij lopen
pass away,sterven
piracy,zeeroof
pirate,piraat
point a gun,wijs een geweer
prison,gevangenis
prison term,gevangenis periode
punch,stempel
punish,straffen
punish,straffen
punishment,straf
raid,inval
raid,inval
ricochet,ricochet
ricochete,ricochete
riot,herrie
rioting,rellen
riot,herrie
ripped,geript
rip,Rust in vrede
robbed,bestolen
robbery,diefstal
robbery,diefstal
ruin,ru�neren
seize weapon,grijp wapen
self-defence,zelfverdediging
self-defense,zelfverdediging
set fire,vuur aansteken
set on fire,in brand gestoken
set fire,vuur aansteken
shoot,schieten
shoot,schieten
shoot dead,schiet dood
shoot death,dood schieten
shooting,het schieten
shot,schot
shot,schot
shut,gesloten
shut down,stilgelegd
slain,gedood
slay,doden
slaying,doden
smash,intrappen
smash,intrappen
smoke,rook
smoking,roken
smolder,smeulen
snap,breuk
stabbed,gestoken
stab,steken
strike,staking
strike,staking
strike,staking
stroke,beroerte
struck,geslagen
struggle,worstelen
struggle,worstelen
suicide,zelfmoord
suicide attempt,zelfmoordpoging
take into custody,in hechtenis nemen
take shelter,schuilen
target,doelwit
target,doelwit
target,doelwit
terror,terreur
terrorism,terrorisme
threat,bedreiging
threaten,dreigen
threaten,dreigen
threat,bedreiging
torched,in brand gestoken
vandalism,vandalisme
vandalize,opzettelijk verwoesten
violence,geweld
violent,gewelddadig
War,Oorlog
war,oorlog
warfare,oorlogvoering
wound,wond
wound,wond
wound,wond
wound,wond
